zipcode,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment,Lat,Lon
60622,55248.0,52548.0,76015.0,107.1,2.5 sq. mi.,0.0 sq. mi.,22502.0,28826,26423,"1.4% ($6,619)",0.014,6619,"$6,593 (1.4%)","$6,643 (1.6%)",474819.0,82366.0,2572.0,881.0,1307.0,581870.0,0.04,41.902172,-87.683337
60623,89401.0,92108.0,108144.0,103.9,5.4 sq. mi.,0.1 sq. mi.,16691.0,44021,45379,"1.7% ($2,661)",0.017,2661,"$2,750 (1.7%)","$2,527 (1.7%)",156275.0,31295.0,1511.0,572.0,826.0,115169.0,0.1,41.848896999999994,-87.71766099999999
60624,38680.0,38105.0,45647.0,108,3.5 sq. mi.,0.0 sq. mi.,10942.0,18236,20444,"1.5% ($2,566)",0.015,2566,"$2,633 (1.3%)","$2,438 (1.7%)",176586.0,23079.0,1473.0,611.0,907.0,348199.0,0.141,41.880503999999995,-87.72444399999999
60625,80292.0,78651.0,91351.0,105.8,3.9 sq. mi.,0.0 sq. mi.,20602.0,40228,40064,"1.6% ($5,659)",0.016,5659,"$5,890 (1.6%)","$4,877 (1.6%)",346402.0,62074.0,2127.0,728.0,1072.0,496520.0,0.055999999999999994,41.973292,-87.700351
60626,50808.0,50139.0,59251.0,105,1.7 sq. mi.,0.5 sq. mi.,29794.0,24679,26129,"1.5% ($3,140)",0.015,3140,"$3,062 (1.5%)","$3,617 (1.7%)",207775.0,38512.0,1625.0,709.0,949.0,132007.0,0.066,42.010019,-87.66709499999999
60628,69053.0,72202.0,87827.0,102.4,10.9 sq. mi.,0.1 sq. mi.,6323.0,30691,38360,"1.2% ($1,531)",0.012,1531,"$1,578 (1.1%)","$1,428 (1.2%)",130858.0,37133.0,1290.0,475.0,968.0,158195.0,0.203,41.690875,-87.615773
60629,116755.0,113916.0,113984.0,104,6.8 sq. mi.,0.1 sq. mi.,17165.0,56685,60069,"1.6% ($2,598)",0.016,2598,"$2,638 (1.6%)","$2,480 (1.5%)",163156.0,43191.0,1480.0,540.0,913.0,146339.0,0.136,41.775868,-87.711496
60630,58453.0,54093.0,54781.0,103.9,4.8 sq. mi.,0.0 sq. mi.,12243.0,28812,29640,"1.6% ($4,743)",0.016,4743,"$5,022 (1.6%)","$4,161 (1.5%)",304559.0,70268.0,2040.0,636.0,1039.0,473710.0,0.055999999999999994,41.972071,-87.756569
60631,28643.0,28641.0,28832.0,104.4,3.7 sq. mi.,0.0 sq. mi.,7699.0,13407,15235,"1.5% ($5,422)",0.015,5422,"$5,757 (1.5%)","$4,910 (1.5%)",358722.0,82754.0,2164.0,675.0,1157.0,1118526.0,0.035,41.994855,-87.81300300000001
60632,92982.0,91326.0,87577.0,103,7.4 sq. mi.,0.0 sq. mi.,12510.0,47792,45191,"1.6% ($2,840)",0.016,2840,"$2,947 (1.6%)","$2,623 (1.4%)",181692.0,42523.0,1562.0,538.0,856.0,161485.0,0.092,41.810165999999995,-87.713252
