zip code,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment
60656,28326,27613,27129,104.3,3.3 sq. mi.,0.0 sq. mi.,8666,14089,14237,"1.6% ($4,576)",0.016,4576,"$4,676 (1.6%)","$4,439 (1.7%)",277588,60590,1701,625,1053,973562,0.05
60657,71110,65996,66789,106.4,2.3 sq. mi.,0.8 sq. mi.,31278,34878,36231,"1.5% ($6,472)",0.015,6472,"$6,814 (1.5%)","$5,116 (1.3%)",432531,87817,2569,1071,1416,677191,0.024
60659,39554,38104,39155,106,2.0 sq. mi.,0.0 sq. mi.,19511,20376,19178,"1.7% ($5,153)",0.017,5153,"$5,195 (1.7%)","$5,008 (1.7%)",302450,53665,1842,731,1099,145978,0.063
60660,42085,42752,47726,104.8,1.3 sq. mi.,0.2 sq. mi.,32982,21183,20901,"1.4% ($3,336)",0.014,3336,"$3,615 (1.4%)","$2,673 (1.4%)",241516,45611,1879,745,948,223705,0.055
60661,9477,7792,4382,106.4,0.3 sq. mi.,0.0 sq. mi.,31865,4931,4545,"1.3% ($4,793)",0.013,4793,"$4,681 (1.3%)","$5,529 (1.4%)",372929,106053,2285,905,1875,339727,0.036
60706,23942,23134,22809,104.7,3.0 sq. mi.,0.0 sq. mi.,8095,11374,12568,"2.0% ($5,683)",0.02,5683,"$6,129 (2.1%)","$5,071 (1.9%)",283360,56774,1861,639,1009,281602,0.049
60707,44074,42920,42621,103.4,3.6 sq. mi.,0.0 sq. mi.,12215,20900,23173,"2.0% ($4,938)",0.02,4938,"$4,991 (2.0%)","$4,828 (2.2%)",243514,57816,1814,711,978,275032,0.066
60714,30156,29931,31051,105.1,6.4 sq. mi.,0.0 sq. mi.,4740,14430,15725,"2.0% ($5,598)",0.02,5598,"$5,823 (2.0%)","$5,313 (1.9%)",285468,56315,1703,699,1082,249499,0.048
60804,85176,84573,86133,101.7,7.7 sq. mi.,0.1 sq. mi.,11114,43470,41706,"3.1% ($4,405)",0.031,4405,"$4,525 (3.2%)","$4,121 (2.9%)",143178,44102,1614,650,884,107932,0.078
60827,29278,27946,33209,100.9,7.0 sq. mi.,0.5 sq. mi.,4174,13493,15783,"3.3% ($3,273)",0.033,3273,"$3,370 (3.3%)","$2,607 (2.8%)",99559,31856,1256,501,750,104596,0.202
60642,19787,18480,,101.2,1.7 sq. mi.,0.0 sq. mi.,11634,10097,9690,"1.5% ($6,222)",0.015,6222,"$6,250 (1.5%)","$5,913 (1.5%)",421765,85822,2456,797,1460,421765,0.043
